t_ms,V_mV,m,h,n,Iinj_uAcm2,INa_uAcm2,IK_uAcm2,IL_uAcm2
0.51,-64.99810065,0.05293965253,0.5961187312,0.3176782811,0,-1.220528546,4.400505596,-3.183330196
0.52,-64.99806718,0.05293985075,0.5961186549,0.3176783323,0,-1.220541745,4.400520707,-3.183320155
0.53,-64.99803383,0.05294004939,0.5961185773,0.3176783844,0,-1.220554971,4.400535822,-3.183310149
0.54,-64.9980006,0.05294024841,0.5961184985,0.3176784373,0,-1.220568223,4.40055094,-3.183300179
0.55,-64.99796748,0.05294044777,0.5961184184,0.3176784911,0,-1.220581496,4.40056606,-3.183290244
0.56,-64.99793448,0.05294064741,0.5961183371,0.3176785457,0,-1.220594788,4.400581184,-3.183280345
0.57,-64.9979016,0.05294084731,0.5961182544,0.3176786011,0,-1.220608096,4.40059631,-3.183270481
0.58,-64.99786884,0.0529410474,0.5961181706,0.3176786573,0,-1.220621417,4.400611439,-3.183260651
0.59,-64.99783619,0.05294124767,0.5961180855,0.3176787144,0,-1.220634749,4.40062657,-3.183250857
0.6,-64.99780366,0.05294144807,0.5961179991,0.3176787722,0,-1.220648088,4.400641704,-3.183241097
0.61,-64.99777124,0.05294164856,0.5961179115,0.3176788309,0,-1.220661433,4.40065684,-3.183231372
0.62,-64.99773894,0.05294184912,0.5961178227,0.3176788903,0,-1.22067478,4.400671979,-3.183221681
0.63,-64.99770675,0.0529420497,0.5961177327,0.3176789506,0,-1.220688129,4.400687119,-3.183212025
0.64,-64.99767468,0.05294225029,0.5961176415,0.3176790116,0,-1.220701477,4.400702261,-3.183202403
0.65,-64.99764272,0.05294245084,0.596117549,0.3176790735,0,-1.220714821,4.400717406,-3.183192815
0.66,-64.99761087,0.05294265134,0.5961174554,0.3176791361,0,-1.22072816,4.400732551,-3.183183262
0.67,-64.99757914,0.05294285175,0.5961173605,0.3176791995,0,-1.220741492,4.400747699,-3.183173742
0.68,-64.99754752,0.05294305206,0.5961172645,0.3176792636,0,-1.220754815,4.400762847,-3.183164256
0.69,-64.99751602,0.05294325222,0.5961171673,0.3176793286,0,-1.220768128,4.400777997,-3.183154805
0.7,-64.99748462,0.05294345223,0.5961170689,0.3176793943,0,-1.220781428,4.400793148,-3.183145387
0.71,-64.99745334,0.05294365205,0.5961169693,0.3176794607,0,-1.220794715,4.400808299,-3.183136003
0.72,-64.99742217,0.05294385168,0.5961168686,0.3176795279,0,-1.220807987,4.400823451,-3.183126652
0.73,-64.99739112,0.05294405108,0.5961167667,0.3176795959,0,-1.220821243,4.400838604,-3.183117336
0.74,-64.99736017,0.05294425023,0.5961166637,0.3176796646,0,-1.22083448,4.400853757,-3.183108052
0.75,-64.99732934,0.05294444913,0.5961165595,0.317679734,0,-1.220847698,4.400868909,-3.183098803
0.76,-64.99729862,0.05294464774,0.5961164542,0.3176798042,0,-1.220860896,4.400884062,-3.183089587
0.77,-64.99726801,0.05294484606,0.5961163477,0.3176798751,0,-1.220874072,4.400899214,-3.183080404
0.78,-64.99723752,0.05294504406,0.5961162401,0.3176799468,0,-1.220887225,4.400914366,-3.183071255
0.79,-64.99720713,0.05294524173,0.5961161314,0.3176800191,0,-1.220900355,4.400929517,-3.18306214
0.8,-64.99717686,0.05294543906,0.5961160216,0.3176800922,0,-1.22091346,4.400944667,-3.183053057
0.81,-64.99714669,0.05294563603,0.5961159106,0.317680166,0,-1.220926538,4.400959815,-3.183044008
0.82,-64.99711664,0.05294583263,0.5961157986,0.3176802405,0,-1.220939591,4.400974963,-3.183034993
0.83,-64.9970867,0.05294602884,0.5961156854,0.3176803157,0,-1.220952615,4.400990108,-3.183026011
0.84,-64.99705687,0.05294622465,0.5961155712,0.3176803916,0,-1.220965611,4.401005252,-3.183017062
0.85,-64.99702715,0.05294642005,0.5961154559,0.3176804682,0,-1.220978577,4.401020394,-3.183008146
0.86,-64.99699755,0.05294661503,0.5961153395,0.3176805455,0,-1.220991513,4.401035533,-3.182999264
0.87,-64.99696805,0.05294680958,0.596115222,0.3176806235,0,-1.221004419,4.40105067,-3.182990415
0.88,-64.99693866,0.05294700368,0.5961151034,0.3176807022,0,-1.221017292,4.401065804,-3.182981599
0.89,-64.99690939,0.05294719732,0.5961149838,0.3176807815,0,-1.221030134,4.401080936,-3.182972816
